,VAR with Tensor Unfold
0,0.0009260941952065825
1,0.001632822541580201
2,0.0018223078350524619
3,0.0020738873490806073
4,0.0031523091879312615
5,0.004454136695168693
6,0.005685287988540892
7,0.006890074170219571
8,0.007996602843185714
9,0.007782161024285591
10,0.006844186038158992
11,0.006509477950165545
12,0.005681534807189787
13,0.0047387341901079395
14,0.004591656626912414
15,0.004658458713242848
16,0.005048991337033377
17,0.0055352629844809135
18,0.0060588797415108454
19,0.006416240339618391
20,0.0066041234611839
21,0.00722576038417532
22,0.007366767160968964
23,0.007444499382971791
24,0.007305632934917038
25,0.00713078685510833
26,0.006899813242056846
27,0.006529607995104574
28,0.006858893933455913
29,0.007747384515668607
30,0.009229969680108694
31,0.010611922593976255
32,0.011199181765776701
33,0.011716051786127463
34,0.010570991130955913
35,0.009994846465523738
36,0.009760446688316092
37,0.009633225554116796
38,0.00959066752186056
39,0.009870334300993903
40,0.010267033454754434
41,0.010803472475956434
42,0.011008488316005562
43,0.011287093907866015
44,0.011715940658488322
45,0.012297326781259008
46,0.012596900667706922
47,0.0125483447357497
48,0.012153785907544967
49,0.011725667191986734
50,0.011573051406380907
51,0.011429975210694604
52,0.011636922157684023
53,0.011994069099623484
54,0.01262375282083843
55,0.013590180679779051
56,0.01487506200130997
57,0.015129733633484242
58,0.01525699541768188
59,0.01512892061996071
60,0.014673019745574955
61,0.014649980514462138
62,0.01525284761385315
63,0.015425854784728323
64,0.01586470044783657
65,0.01631467337133742
66,0.017097261585463045
67,0.017631793571311775
68,0.0185070947860047
69,0.019648338699504345
70,0.02050378308923866
71,0.020608230879361377
72,0.02013134941662455
73,0.019517829822880726
74,0.019058452870726193
75,0.01889320328258086
76,0.0189892923374352
77,0.01966816903061851
78,0.020396274537286124
79,0.02131015335031619
80,0.022278396534051833
81,0.02251460581862063
82,0.022118221625428872
83,0.0214176700951471
84,0.021120141593483143
85,0.02106421645290226
86,0.021179900281573575
87,0.02111843308597729
88,0.021190721551206947
89,0.02126404650171967
90,0.02160670903327588
91,0.021768785724877726
92,0.021986541670486023
93,0.0218095588681946
94,0.021599178440645777
95,0.021211515102275463
96,0.020835039477840964
97,0.02048389725215192
98,0.020309542488479396
99,0.019887747835848516
100,0.019960785905234358
101,0.02044481777705472
102,0.021165363899479057
103,0.022019686113513393
104,0.023026774181838076
105,0.02369219064239477
106,0.023676685571497987
107,0.02351176852046143
108,0.023179010866245922
109,0.023018352115497423
110,0.02348857196001595
111,0.022834183628000645
112,0.02286407910907005
113,0.02305710461454416
114,0.023248126885959456
115,0.02371569940649028
116,0.024099491817156475
117,0.024298398482791677
118,0.024255768975914367
119,0.02351130972736578
120,0.022445845285746707
121,0.021371831824636225
122,0.020826098801809235
123,0.020301555454088262
124,0.02068687231124538
125,0.021401495077494684
126,0.021617009532721776
127,0.022520251675164197
128,0.022908123698861894
129,0.023526823345282208
130,0.0235441851819297
131,0.02321026686939895
132,0.022914031610266457
133,0.022702217880886562
134,0.0228475014059376
135,0.022670814590953964
136,0.022972118131665144
137,0.023124712001087476
138,0.023227324629657348
139,0.023357804604600012
140,0.023396897399608697
141,0.023397569179759128
142,0.023192318593952425
143,0.022586554770984653
144,0.021523805618108082
145,0.020403059380120006
146,0.019813495568564158
147,0.019610389435160455
148,0.019219213952789204
149,0.01941192096610194
150,0.020660724668979082
151,0.02201683499286654
152,0.02260041842024763
153,0.023016486734354986
154,0.024055634705295828
155,0.024524795964476084
156,0.024862107691265907
157,0.025063043172802873
158,0.0251955935338961
159,0.025501909971750097
160,0.025872128773300623
161,0.026244407226786098
162,0.02655060845569584
163,0.026799878361251455
164,0.026970147588415837
165,0.027016063991693526
166,0.026800906567883115
167,0.02643762562546025
168,0.025472869138761012
169,0.02464297329365811
170,0.02385387195303389
171,0.023916841385389437
172,0.022994235573925857
173,0.021862675531436487
174,0.022724296394833376
175,0.023733903771035438
176,0.024221705510291333
177,0.024316361994739792
178,0.024174493837216558
179,0.024190720862158045
180,0.024103396815546976
181,0.024259166591796288
182,0.023994096044634632
183,0.02362920544583333
184,0.02368199814731275
185,0.0238529892146071
186,0.024196041256170253
187,0.024317716476616385
188,0.02455479351428889
189,0.024801518895627962
190,0.024816756013171543
191,0.02409701320411412
192,0.023053243508044025
193,0.022186421747873553
194,0.021677033584436064
195,0.02060203974664358
196,0.019602398235483383
197,0.019405325443968634
198,0.019866698432149502
199,0.020761126299174308
