,VAR with DCT
0,0.0009514789586644144
1,0.0016818715858248673
2,0.0018835358641594733
3,0.0022259877924020793
4,0.003546605846466214
5,0.005101819311103362
6,0.006621924197416749
7,0.008035021457803318
8,0.009344460722670653
9,0.009217976780826753
10,0.008288359656116772
11,0.008092734759050342
12,0.007245301164288262
13,0.005748087193807212
14,0.005346787377190658
15,0.004912828281262683
16,0.00502263846289726
17,0.005406664170888966
18,0.005862542190781726
19,0.005959018375106205
20,0.005986282554560581
21,0.006456383159108756
22,0.006513706007373224
23,0.006597229603507313
24,0.006556879328550424
25,0.006495844806684335
26,0.006627539899599374
27,0.007011648825673733
28,0.008105682303848498
29,0.009806544143623985
30,0.011756787989897773
31,0.013350512854610272
32,0.014220234674374298
33,0.01461262295056907
34,0.013503393290254313
35,0.012611985057472986
36,0.012141556037544252
37,0.011653358864052157
38,0.011214207621174572
39,0.011256118984076108
40,0.011416734603597689
41,0.011801130696830472
42,0.011959921118573845
43,0.01218262263642413
44,0.012572230745210577
45,0.012998955608840478
46,0.013243531631621966
47,0.013234603847838611
48,0.012984320881013884
49,0.012719074863563962
50,0.012848496764311762
51,0.012947124890235848
52,0.013765492867253634
53,0.014442577471229436
54,0.015161049689950844
55,0.016214478563604997
56,0.017490581125613285
57,0.017733978572767213
58,0.017818459615407355
59,0.01742768618327132
60,0.016752500927589137
61,0.016530356771047527
62,0.017045879140913055
63,0.017130984952423038
64,0.017477408254645405
65,0.01771762397826751
66,0.01832306133635551
67,0.018806797106339493
68,0.019592905252262382
69,0.020643044980797998
70,0.021417324916390257
71,0.021468246613661177
72,0.020905196326357633
73,0.020229870761511844
74,0.01977953071791179
75,0.0196280716460825
76,0.019996423893082056
77,0.02091580447112088
78,0.02201528166718959
79,0.02319816105487231
80,0.024394189488582914
81,0.024677887068695777
82,0.024229619640024052
83,0.023456815134935752
84,0.02314630686867107
85,0.022991289327607498
86,0.023132447139136574
87,0.02306797308423108
88,0.023095573948810545
89,0.02317958637698414
90,0.023495155124703848
91,0.023646492629629208
92,0.02389618780215905
93,0.02377166307421347
94,0.023561169995427515
95,0.02315881814875457
96,0.02271048753180162
97,0.022174355470598036
98,0.02188054434721574
99,0.021555568835666658
100,0.021819784410158444
101,0.02250812300063281
102,0.02335966317777467
103,0.024242845359336136
104,0.02544127765207027
105,0.026190296689290408
106,0.026330827215866295
107,0.026200498408450276
108,0.025919687708237486
109,0.025738234442734542
110,0.026252528928113212
111,0.025549503825745844
112,0.025583307068783593
113,0.02576921446810824
114,0.02593011794720007
115,0.026448100938204242
116,0.026919659876131936
117,0.027154504488307973
118,0.027191850184413755
119,0.02644353242161305
120,0.02545296077115555
121,0.02420891332768637
122,0.023274503054934007
123,0.022619495719108384
124,0.02284908266242373
125,0.023614138301334537
126,0.024201849527961734
127,0.025506898005054016
128,0.026186403900084764
129,0.027009416638931458
130,0.027140334879750892
131,0.026795543207738325
132,0.026645321618536003
133,0.02650315420572336
134,0.026765135193100788
135,0.026661578102025067
136,0.027076946380189378
137,0.027251439811961268
138,0.027308256285090694
139,0.02747168697600938
140,0.027568377126884883
141,0.02755586163880253
142,0.027298509589729635
143,0.026697577356016137
144,0.02552244833010009
145,0.024276982837165454
146,0.023419541566747252
147,0.022753997299800977
148,0.022312497209341333
149,0.02265092376888593
150,0.02409185181978267
151,0.025571978503702623
152,0.026448547121619537
153,0.0272063399379366
154,0.028395114311900876
155,0.028943403220818995
156,0.029320546084268137
157,0.02958679851548232
158,0.02978418692674545
159,0.030161427619129086
160,0.030616318974255062
161,0.031010400703085274
162,0.0314150467910213
163,0.031751087871288365
164,0.03201285844248011
165,0.03211351061990539
166,0.03191037312935505
167,0.03149576163332601
168,0.030471897352010877
169,0.02951961148112556
170,0.028626065123942158
171,0.02856401062271373
172,0.027737976419518508
173,0.026496976436888597
174,0.027626378522434776
175,0.02886732653587531
176,0.029632793966305943
177,0.029916336171102866
178,0.029951790274399523
179,0.03010112978664169
180,0.030114411487851003
181,0.030351794083221598
182,0.030072826236540746
183,0.029836662068030134
184,0.029994773883997478
185,0.03027927710545791
186,0.030629020817369245
187,0.030789828019873573
188,0.03104851957350658
189,0.03133656872455718
190,0.03139295743124476
191,0.03059193054392076
192,0.02956168921902515
193,0.02841090786551889
194,0.027113825487427877
195,0.02582800624217484
196,0.024999400420832967
197,0.025003395475186787
198,0.02548555648132647
199,0.026796985090764867
