,LSTM
0,0.00839410578917269
1,0.008561163206462791
2,0.008734454373743058
3,0.00926670987640117
4,0.00969754672508886
5,0.010314530721672502
6,0.010676722336495187
7,0.010540620080008523
8,0.010094780629651388
9,0.00953722839296271
10,0.009373106310777025
11,0.009683746353388643
12,0.010489986778838263
13,0.011848087983647972
14,0.012021155358893044
15,0.011874446167439897
16,0.011835067450148484
17,0.011448180115908063
18,0.010631498946402413
19,0.010387116664906068
20,0.009951555614210987
21,0.009870638626832073
22,0.009777014792235063
23,0.010105182919703666
24,0.009998549766153633
25,0.009987720987702517
26,0.010115805554332277
27,0.010532525310678801
28,0.010862746929215072
29,0.011016462546574316
30,0.010984599748766598
31,0.01101227286344878
32,0.011146333432252952
33,0.011397224105505878
34,0.012080221942206315
35,0.013194869309352424
36,0.014449251353937582
37,0.014867746007353844
38,0.01511621853106939
39,0.014547829192275489
40,0.013789319999084714
41,0.013600118937132748
42,0.012763937250319836
43,0.01263092108586874
44,0.012483764034547713
45,0.012533121815918773
46,0.01252898579356333
47,0.01250231178682957
48,0.012392410907524945
49,0.012373503332805897
50,0.012644833247430444
51,0.013090258502513994
52,0.013217857084707586
53,0.013423571572414831
54,0.013776448125430227
55,0.013901937417290662
56,0.013948324727921912
57,0.014130304340132007
58,0.014400272333327918
59,0.014983029228354617
60,0.01586981943127476
61,0.01699566355078232
62,0.01715213037686408
63,0.017099094110252188
64,0.016279682060121717
65,0.015488600541436005
66,0.015123663621175641
67,0.015336231196500334
68,0.015448064800137655
69,0.0153405658301537
70,0.01531841322295883
71,0.015819114966913725
72,0.0158832066876357
73,0.016414852529185398
74,0.017192670790285042
75,0.01815247742205279
76,0.018716120048710844
77,0.018727624635374647
78,0.018543582101105398
79,0.018492118666107074
80,0.018585772696377786
81,0.01859477629472968
82,0.01931153370497704
83,0.020168128861010173
84,0.021093450550291774
85,0.022569893531730736
86,0.022778945702980072
87,0.02220245782359704
88,0.021287059307514747
89,0.02079008047850715
90,0.020243668448234498
91,0.020061714814959466
92,0.019876489759241812
93,0.0197678731819596
94,0.01962048601782113
95,0.019571885901891684
96,0.019563165477739775
97,0.019685384883752443
98,0.019796626121474297
99,0.019965909751167066
100,0.01990884645018923
101,0.01997392362034366
102,0.019941471534211233
103,0.019823783515577932
104,0.019520330618553516
105,0.019895563921964576
106,0.020285552142871564
107,0.02084005245458265
108,0.021743292680918916
109,0.02248248042413927
110,0.02314223693405446
111,0.02341849548088848
112,0.02279494096817935
113,0.022449414830479342
114,0.022165155555150508
115,0.022579055083993205
116,0.021742813745091596
117,0.02156761629948927
118,0.021587713072918995
119,0.021301306999332956
120,0.021362045836858894
121,0.021683095447191717
122,0.021917173303477498
123,0.0220231529585107
124,0.02163540401633903
125,0.021348519658333214
126,0.020983197077223677
127,0.02112218021825057
128,0.020777820975455216
129,0.020769327855097275
130,0.02147443275774018
131,0.021621356138031653
132,0.022657982698377245
133,0.023472292227985695
134,0.024028389884238357
135,0.023730785054547843
136,0.022929291461168667
137,0.022301520240305888
138,0.021892089998412145
139,0.021720859982553454
140,0.021434788670333667
141,0.021689244617439
142,0.021524011330894353
143,0.02150061653139889
144,0.021556703964481793
145,0.02147656524687866
146,0.021439668696203708
147,0.02157968517637311
148,0.02138913851889857
149,0.02105260263032558
150,0.02050505423021264
151,0.02020652216302492
152,0.020166717097560054
153,0.020066824249890328
154,0.020595318591993587
155,0.021526435611976025
156,0.022623083322692666
157,0.02297756999808417
158,0.023064124365158575
159,0.023546056938082115
160,0.023474488078284807
161,0.023327379876003588
162,0.023298327520305202
163,0.02324396976880812
164,0.023171491627930668
165,0.02331782460108534
166,0.023306755705875325
167,0.023354127143486364
168,0.02345250565182112
169,0.02360275012289745
170,0.02374891333558565
171,0.023793359996263405
172,0.02387244175069912
173,0.023652787340811658
174,0.0238808696108755
175,0.024322288972329575
176,0.025008934156422438
177,0.024115795115350107
178,0.02171168393214408
179,0.022146898012510546
180,0.023152974271809835
181,0.02357902790772696
182,0.02341545920216754
183,0.023032619455933035
184,0.022828840970477618
185,0.022533695982262326
186,0.02260130724908558
187,0.022116369857161443
188,0.021533337131642342
189,0.021265594389416487
190,0.021237646761236795
191,0.0214370421872547
192,0.021393421509391254
193,0.0213686129120352
194,0.0212909194570786
195,0.021433794674889425
196,0.021244573491980456
197,0.021003987596730635
198,0.021128367602799052
199,0.021504064533512574
