,VAR with DCT
0,0.0009532548262054576
1,0.0017137663999042556
2,0.0019824646757077655
3,0.002408044997283054
4,0.003736933612817331
5,0.00526625195060114
6,0.006772716672247415
7,0.008130235186637379
8,0.009374821779036266
9,0.009231898259894518
10,0.008291594326588606
11,0.008079105203331915
12,0.007229293359096074
13,0.005538765383430318
14,0.004925545128212949
15,0.0041643709148995005
16,0.0040486819851482305
17,0.004370319225783663
18,0.00471428589808834
19,0.004660563955231778
20,0.00462257722884943
21,0.0050154915879718565
22,0.005112190718483386
23,0.005188128261354044
24,0.005112870971142395
25,0.005156601821507333
26,0.005383519904142672
27,0.00597509669916407
28,0.00713563093623301
29,0.008780781107898638
30,0.010742621439058365
31,0.012290335336466972
32,0.01294654036917318
33,0.013218837713306762
34,0.01194675230473777
35,0.010910119144954225
36,0.010299162267460478
37,0.00962937296081424
38,0.00921893825820551
39,0.00923614428890805
40,0.009387095056438642
41,0.009709376249329753
42,0.009841909523772336
43,0.010050148948342984
44,0.010414395955506566
45,0.010931248397599349
46,0.011248502900114902
47,0.011230962506319891
48,0.010938396615388719
49,0.010780083535997603
50,0.010887130942386405
51,0.01117223873005671
52,0.011932474631359042
53,0.012722784348547265
54,0.013479085950025345
55,0.014508396597888978
56,0.015758985976421
57,0.01595556375619046
58,0.01592600116387613
59,0.01549615510310319
60,0.014704548452026433
61,0.014416365441593245
62,0.014898755357542572
63,0.014888457201434986
64,0.015112322205854038
65,0.015352722582891005
66,0.01607197779846617
67,0.01657894345016054
68,0.01745279757035934
69,0.018590655655700106
70,0.019496835976831457
71,0.01963071349358293
72,0.01927993179777785
73,0.018813422840641403
74,0.018583728012496928
75,0.018679985581654217
76,0.019096255758267303
77,0.020052815795881775
78,0.020956967072487006
79,0.02192710728396009
80,0.022894984416926938
81,0.023101787364947547
82,0.02262635368031635
83,0.02168572052160559
84,0.0212622466114993
85,0.02106781573615082
86,0.02112705818306015
87,0.020874432587365817
88,0.02081835712884571
89,0.02070969520250705
90,0.02090880035793553
91,0.020989070863890062
92,0.02116458483038664
93,0.021001411080181505
94,0.020756731423326753
95,0.020416330091952126
96,0.020140363130355738
97,0.019924806540730092
98,0.01983922860075114
99,0.019595037140880744
100,0.0199633541056044
101,0.020670279424248074
102,0.021545729489770005
103,0.022450835358116934
104,0.02350134847815644
105,0.024172340549480503
106,0.024178443207480044
107,0.023943666708874222
108,0.02341779801803555
109,0.02309544162561081
110,0.023523287307732028
111,0.022595246293751755
112,0.022525607316800422
113,0.02262159234287543
114,0.02260949062124282
115,0.02295563098409972
116,0.023298861958009003
117,0.02343627629582575
118,0.023339074976372814
119,0.022559516027963765
120,0.02158281924849689
121,0.020656719435477176
122,0.02035418456061531
123,0.020079390310446473
124,0.020665149845817944
125,0.021703726346974424
126,0.022078592940360093
127,0.023020405316276315
128,0.02340993779681045
129,0.023978624858779884
130,0.023892670339208714
131,0.023385343877816406
132,0.02293271985497322
133,0.022585780377347143
134,0.022635584582850324
135,0.022317919233942517
136,0.022602270637464856
137,0.02265455848550031
138,0.022632375076615682
139,0.02270287368382123
140,0.022682457421705368
141,0.022619927272568167
142,0.022391305696951365
143,0.021765421275737717
144,0.0207544461927554
145,0.01978695793304667
146,0.019348355154344382
147,0.01934821186561458
148,0.019112056181235952
149,0.019484362662571
150,0.02070299831527142
151,0.022023811578291894
152,0.022529655599725962
153,0.02280616814314562
154,0.023772590203616252
155,0.02408237129505092
156,0.024280403623681574
157,0.02435788277832575
158,0.0244280305377944
159,0.024632897435257765
160,0.024979612494820173
161,0.02526567202025953
162,0.02552111086243492
163,0.025747046556855786
164,0.025922513366673648
165,0.025962918393653413
166,0.025740565920509557
167,0.0254004438046924
168,0.024469462950240755
169,0.023737479789706434
170,0.023105852657484986
171,0.02340091782729942
172,0.022842238172513546
173,0.022262910632997047
174,0.02332066206654039
175,0.024427970406137343
176,0.02482682000281015
177,0.02476618382652473
178,0.02435037169184347
179,0.024122824947587357
180,0.023801985804253776
181,0.02382781339765824
182,0.023504448039093327
183,0.023099335524911863
184,0.023102076683149064
185,0.023192069327415823
186,0.023484998648597134
187,0.023543597536159182
188,0.023696523146954113
189,0.02386055741015453
190,0.023843993451948653
191,0.02317828471181505
192,0.022154095923356935
193,0.021376055281130988
194,0.021070705049368494
195,0.020261427621332952
196,0.019611490227877178
197,0.01971360507213957
198,0.020433430041699095
199,0.02134733909759846
