271.83,269.65,272.17,268.08,91.95,91.17,92.14,90.62,210.14,209.64,210.27,208.9,208.95,208.41,209.08,207.71
268.84,271.05,271.23,267.85,90.51,91.29,91.44,89.63,209.02,210.84,210.99,208.25,207.83,209.66,209.8,207.06
271.8,271.52,273.41,270.45,91.43,92.4,93.08,91.43,211.07,210.66,211.84,209.84,209.87,209.526,210.6495,208.63
274.09,276.67,276.94,273.87,93.35,94.97,95.05,93.3,212.24,213.86,214.15,212.0,211.05,212.65,212.94,210.7785
277.68,278.22,278.86,277.4,95.69,96.04,96.45,95.62,214.42,214.67,215.28,214.1795,213.19,213.4,214.07,212.95
280.17,281.0,281.75,279.54,96.99,97.29,97.62,96.74,215.77,216.18,216.53,215.49,214.53,214.95,215.3,213.4308
282.11,280.24,282.21,279.6,97.63,97.41,98.0,97.26,216.67,216.16,216.695,215.59,215.44,214.92,215.45,214.35
282.39,280.88,282.52,280.85,98.31,98.12,98.39,97.5,217.63,217.35,217.91,216.9,216.4,216.12,216.67,215.66
281.82,280.87,282.12,280.25,98.14,98.09,98.26,97.7,218.02,217.03,218.05,216.54,216.78,215.83,217.0125,215.308
280.45,281.24,281.78,280.185,99.3,99.53,99.71,99.05,217.17,217.63,217.86,216.9,215.97,216.4092,216.6,215.67
280.73,280.72,280.9989,279.68,99.37,99.19,99.46,98.88,217.18,217.39,217.46,216.88,215.92,216.19,216.23,215.63
281.11,281.9,282.48,280.1,99.75,100.76,101.01,99.43,217.99,218.31,218.6,217.47,216.75,217.085,217.37,216.24
281.72,280.25,282.6,280.06,100.89,100.05,100.92,99.64,218.19,217.52,218.47,216.99,216.96,216.265,217.22,215.75
280.68,282.51,282.7545,280.27,99.71,100.55,100.61,99.1,217.65,218.47,218.56,217.35,216.41,217.24,217.3,216.1
282.06,281.47,282.47,280.97,100.75,101.13,101.32,100.53,218.24,217.91,218.31,217.22,217.0,216.65,217.06,215.97
281.64,283.06,283.151,281.25,102.1,105.05,105.52,102.1,217.82,218.0,218.42,217.001,216.53,216.75,217.17,215.76
283.14,281.88,283.58,280.76,105.96,105.04,106.03,104.43,218.42,217.78,218.51,216.88,217.19,216.52,217.27,215.62
281.33,282.81,283.35,281.03,104.57,104.46,105.16,104.0,217.52,218.04,218.37,217.0,216.29,216.77,217.11,215.75
282.59,283.78,284.6,281.68,104.44,104.0,104.78,103.53,217.72,218.37,218.79,217.38,216.46,217.12,217.54,216.13
283.93,283.02,284.46,282.48,104.18,104.08,104.46,103.72,218.47,218.12,218.9,217.65,217.19,216.94,217.65,216.405
282.86,279.8,283.29,279.0,103.89,102.48,103.89,101.86,217.91,216.83,218.07,215.811,216.65,215.5492,216.83,214.57
279.68,281.6,281.6,278.91,101.91,102.61,102.63,101.91,216.73,217.47,217.48,216.39,215.48,216.18,216.245,215.13
281.75,281.64,282.82,281.14,102.77,103.57,103.61,102.68,217.56,217.67,218.02,217.07,216.31,216.4097,216.78,214.25
283.0,284.36,284.76,282.64,104.21,104.89,105.0,104.03,218.51,219.4,219.48,218.33,217.21,218.18,218.23,217.07
284.36,284.42,285.42,284.15,105.25,104.77,105.5,104.5801,219.66,219.28,219.7799,219.0,218.4,218.05,218.52,217.74
284.6,284.32,285.04,284.01,105.35,105.62,105.96,105.17,219.42,219.42,220.01,219.0576,218.13,218.18,218.76,217.8
284.24,283.47,284.721,282.92,105.83,104.9,105.83,104.46,219.6,218.88,219.67,218.47,218.31,217.64,218.4038,217.23
284.22,284.13,284.73,283.2,105.35,105.3,105.44,104.75,219.54,219.89,220.2,219.21,218.26,218.65,218.94,217.95
283.66,283.63,284.52,282.91,105.5,105.79,106.02,105.39,219.56,219.71,219.97,219.26,218.29,218.46,218.71,217.99
284.2,285.76,286.32,284.16,106.01,107.23,107.4919,106.01,220.15,220.37,220.76,220.15,218.89,219.09,219.5,218.88
284.86,283.02,285.0,282.88,107.06,106.48,107.06,106.36,219.86,219.25,219.93,219.23,218.6,217.96,218.68,217.96
283.09,282.51,283.26,280.79,106.52,106.46,106.54,105.89,219.27,219.65,219.79,218.28,218.0,218.37,218.53,217.02
282.46,284.45,284.53,282.45,106.49,107.23,107.24,106.4,219.6,220.16,220.16,219.48,218.34,218.86,218.9,218.21
283.59,284.53,284.83,282.99,107.33,108.15,108.41,107.33,219.59,219.82,220.01,219.0,218.31,218.54,218.75,217.74
284.2,284.8,284.89,283.42,107.98,108.2,108.46,107.74,219.55,219.75,220.055,219.09,218.26,218.53,218.8,217.83
285.98,286.21,287.08,285.92,108.68,108.73,109.21,108.68,220.51,220.21,220.88,220.16,219.25,218.97,219.6,218.9
286.11,284.78,286.2,283.85,108.88,107.83,108.97,107.55,220.06,219.17,220.17,218.64,218.8,217.85,218.91,217.36
283.73,285.17,285.9,283.62,107.5,108.27,108.77,107.5,218.66,218.95,219.45,218.48,217.4,217.7,218.19,217.22
285.64,284.07,287.24,282.78,108.45,108.75,109.57,108.02,219.16,218.56,220.39,217.5,217.92,217.29,219.12,216.25
284.48,286.27,286.98,284.48,109.21,109.18,109.6,109.05,218.71,219.6,219.91,218.64,217.44,218.3608,218.665,217.4
286.51,286.19,286.83,284.955,109.21,108.97,109.8,108.58,219.55,219.26,219.8248,218.61,218.26,218.0,218.59,217.35
285.82,285.08,286.08,283.73,108.94,108.9,109.06,108.29,218.89,218.65,219.01,217.73,217.61,217.38,217.75,216.465
285.26,284.95,285.94,282.9401,109.21,109.76,109.84,108.35,218.64,218.67,218.99,217.28,217.37,217.39,217.73,216.03
